Name,Path,Category,Has_DB,Has_OpenAI,Has_Stripe,Has_Auth,Has_ExternalAPI
pdg-update-agent-email,supabase/functions/pdg-update-agent-email,User Management,Y,N,N,Y,Y
process-digital-renewals,supabase/functions/process-digital-renewals,Other,Y,N,N,Y,Y
process-payment-link,supabase/functions/process-payment-link,Payment,Y,N,Y,Y,Y
production-cron-jobs,supabase/functions/production-cron-jobs,Product Management,Y,N,N,Y,Y
pubsub-manage,supabase/functions/pubsub-manage,Other,Y,N,N,Y,Y
pubsub-publish,supabase/functions/pubsub-publish,Other,Y,N,N,Y,Y
pubsub-subscribe,supabase/functions/pubsub-subscribe,Other,Y,N,N,Y,Y
redis-cache,supabase/functions/redis-cache,Other,N,N,N,Y,Y
register-with-affiliate,supabase/functions/register-with-affiliate,Other,Y,N,N,Y,Y
release-scheduled-funds,supabase/functions/release-scheduled-funds,Other,Y,N,N,Y,Y
renew-subscription,supabase/functions/renew-subscription,Other,Y,N,N,Y,Y
request-refund,supabase/functions/request-refund,Other,Y,N,N,Y,Y
reset-agent-password,supabase/functions/reset-agent-password,Authentication,Y,N,N,Y,Y
reset-pdg-password,supabase/functions/reset-pdg-password,Authentication,N,N,N,Y,Y
resolve-dispute,supabase/functions/resolve-dispute,Other,Y,N,N,Y,Y
resolve-payment-link,supabase/functions/resolve-payment-link,Payment,Y,N,N,Y,Y
resolve-short-link,supabase/functions/resolve-short-link,Other,Y,N,N,Y,Y
restart-module,supabase/functions/restart-module,Other,Y,N,N,Y,Y
restaurant-payment,supabase/functions/restaurant-payment,Payment,Y,N,Y,Y,Y
restore-user,supabase/functions/restore-user,User Management,Y,N,N,Y,Y
secure-payment-init,supabase/functions/secure-payment-init,Payment,Y,N,N,Y,Y
secure-payment-validate,supabase/functions/secure-payment-validate,Payment,Y,N,N,Y,Y
security-analysis,supabase/functions/security-analysis,Security,N,N,N,Y,Y
security-block-ip,supabase/functions/security-block-ip,Security,Y,N,N,Y,Y
security-detect-anomaly,supabase/functions/security-detect-anomaly,Security,Y,N,N,Y,Y
security-forensics,supabase/functions/security-forensics,Security,Y,N,N,Y,Y
security-incident-response,supabase/functions/security-incident-response,Security,Y,N,N,Y,Y
send-agent-invitation,supabase/functions/send-agent-invitation,User Management,N,N,N,Y,Y
send-bureau-access-email,supabase/functions/send-bureau-access-email,Other,N,N,N,Y,Y
send-communication-notification,supabase/functions/send-communication-notification,Other,Y,N,N,Y,Y
send-delivery-notification,supabase/functions/send-delivery-notification,Order Management,Y,N,N,Y,Y
send-otp-email,supabase/functions/send-otp-email,Other,N,N,N,Y,Y
send-security-alert,supabase/functions/send-security-alert,Security,Y,N,N,Y,Y
send-sms,supabase/functions/send-sms,Other,N,N,N,Y,Y
service-payment,supabase/functions/service-payment,Payment,Y,N,Y,Y,Y
short-link,supabase/functions/short-link,Other,Y,N,N,Y,Y
sign-contract,supabase/functions/sign-contract,Other,Y,N,N,Y,Y
smart-notifications,supabase/functions/smart-notifications,Other,Y,N,N,Y,Y
smart-recommendations,supabase/functions/smart-recommendations,Other,Y,N,N,Y,Y
stripe-create-payment-intent,supabase/functions/stripe-create-payment-intent,Payment,Y,N,Y,Y,Y
stripe-deposit,supabase/functions/stripe-deposit,Payment,Y,N,Y,Y,Y
stripe-marketplace-payment,supabase/functions/stripe-marketplace-payment,Payment,Y,N,Y,Y,Y
stripe-pos-payment,supabase/functions/stripe-pos-payment,Payment,Y,N,Y,Y,Y
stripe-webhook,supabase/functions/stripe-webhook,Payment,Y,N,Y,N,Y
stripe-withdrawal,supabase/functions/stripe-withdrawal,Payment,Y,N,N,Y,Y
subscription-expiry-check,supabase/functions/subscription-expiry-check,Other,Y,N,N,N,Y
subscription-webhook,supabase/functions/subscription-webhook,Webhooks,Y,N,N,N,Y
sync-system-apis,supabase/functions/sync-system-apis,Other,Y,Y,Y,N,Y
sync-to-cloudsql,supabase/functions/sync-to-cloudsql,Other,Y,N,N,Y,Y
task-queue-worker,supabase/functions/task-queue-worker,Other,Y,N,N,Y,Y
taxi-accept-ride,supabase/functions/taxi-accept-ride,Other,Y,N,N,Y,Y
taxi-payment,supabase/functions/taxi-payment,Payment,Y,N,Y,Y,Y
taxi-payment-process,supabase/functions/taxi-payment-process,Payment,Y,N,Y,Y,Y
taxi-refuse-ride,supabase/functions/taxi-refuse-ride,Other,Y,N,N,Y,Y
test-gemini-api,supabase/functions/test-gemini-api,Other,N,N,N,Y,Y
test-google-cloud-api,supabase/functions/test-google-cloud-api,Other,N,N,N,Y,Y
translate-audio,supabase/functions/translate-audio,Other,Y,N,N,Y,Y
translate-message,supabase/functions/translate-message,Other,Y,N,N,Y,Y
translate-product,supabase/functions/translate-product,Product Management,N,N,N,Y,Y
universal-login,supabase/functions/universal-login,Authentication,Y,N,N,Y,Y
update-bureau-email,supabase/functions/update-bureau-email,Other,Y,N,N,Y,Y
update-member-email,supabase/functions/update-member-email,Other,Y,N,N,Y,Y
update-vendor-agent-email,supabase/functions/update-vendor-agent-email,User Management,Y,N,N,Y,Y
upload-bureau-stamp,supabase/functions/upload-bureau-stamp,Other,Y,N,N,Y,Y
validate-purchase,supabase/functions/validate-purchase,Other,Y,N,N,Y,Y
vendor-agent-get-products,supabase/functions/vendor-agent-get-products,Product Management,Y,N,N,Y,Y
vendor-ai-assistant,supabase/functions/vendor-ai-assistant,AI/ML,Y,N,N,Y,Y
verify-bureau-token,supabase/functions/verify-bureau-token,Other,Y,N,N,Y,Y
verify-totp,supabase/functions/verify-totp,Other,Y,N,N,Y,Y
verify-vendor,supabase/functions/verify-vendor,Other,Y,N,N,Y,Y
visual-search,supabase/functions/visual-search,Other,Y,N,N,Y,Y
waap-protect,supabase/functions/waap-protect,Other,Y,N,N,Y,Y
wallet-audit,supabase/functions/wallet-audit,Payment,Y,N,N,Y,Y
wallet-operations,supabase/functions/wallet-operations,Payment,Y,N,N,Y,Y
wallet-payment-api,supabase/functions/wallet-payment-api,Payment,Y,N,N,Y,Y
wallet-transfer,supabase/functions/wallet-transfer,Payment,Y,N,N,Y,Y
